Model_name,accuracy,precision,recall,training_time,epochs
Inceptionv3 (30 layers unfreezed),0.33184855233853,0.3382380918359792,0.33184855233853,4173.832873344421,48
Inceptionv3,0.3808463251670378,0.4033593183670396,0.3808463251670378,5918.016392707825,68
InceptionResnet,0.3585746102449889,0.3708859050539991,0.3585746102449889,3959.655182123184,44
Resnet50v2,0.4097995545657015,0.4307722740442903,0.4097995545657015,6877.773195028305,77
VGG Net,0.4142538975501114,0.4392104626584134,0.4142538975501114,4583.786168336868,52
MobileNet,0.4387527839643652,0.4490187100167335,0.4387527839643652,5310.719707727432,60
DenseNet,0.36080178173719374,0.36520835329777523,0.36080178173719374,2731.302652359009,30
