Model_name,accuracy,precision,recall,training_time,epochs
Inceptionv3 (30 layers unfreezed),0.6547884187082406,0.6660078839075227,0.6547884187082406,3887.304279565811,41
Inceptionv3,0.7371937639198218,0.7549824746278081,0.7371937639198218,6881.7415997982025,73
InceptionResnet,0.7015590200445434,0.7042875879025174,0.7015590200445434,4947.767155647278,50
Resnet50v2,0.6570155902004454,0.6659635684390275,0.6570155902004454,3366.5482561588287,34
VGG Net,0.6837416481069042,0.7042076157483934,0.6837416481069042,3785.0726778507233,38
MobileNet,0.7282850779510023,0.727226769088056,0.7282850779510023,3467.137446641922,35
DenseNet,0.7082405345211581,0.7228790539695641,0.7082405345211581,4535.210918188095,45
Model Efficient,0.6904231625835189,0.6966477926988728,0.6904231625835189,7462.752462387085,80
